Date,Open,High,Low,Close,Adj Close,Volume
2023-01-23,1.390992,1.414545,1.374731,1.385494,1.385494,4198760
2023-01-24,1.382409,1.405884,1.347783,1.349895,1.349895,6059366
2023-01-25,1.349651,1.361914,1.255168,1.345815,1.345815,7471216
2023-01-26,1.346064,1.377729,1.326932,1.352810,1.352810,4617467
2023-01-27,1.353290,1.368168,1.296341,1.351752,1.351752,4173310
2023-01-28,1.351605,1.369133,1.308829,1.316909,1.316909,3654870
2023-01-29,1.316886,1.380321,1.308226,1.379486,1.379486,4320694
2023-01-30,1.379857,1.382335,1.269434,1.305895,1.305895,10075618
2023-01-31,1.306143,1.339718,1.291563,1.336621,1.336621,4215502
2023-02-01,1.336650,1.438063,1.308890,1.431961,1.431961,5507606
2023-02-02,1.432677,1.570704,1.427126,1.506894,1.506894,10253179
2023-02-03,1.507179,1.514109,1.443485,1.455373,1.455373,8149141
2023-02-04,1.455356,1.958351,1.455356,1.884553,1.884553,39643326
2023-02-05,1.885599,1.894985,1.695600,1.806198,1.806198,21002401
2023-02-06,1.806392,1.848955,1.772297,1.786821,1.786821,11098566
2023-02-07,1.789318,1.838233,1.749816,1.837937,1.837937,11129469
2023-02-08,1.838064,1.859132,1.711720,1.762612,1.762612,10284011
2023-02-09,1.762876,1.766934,1.536634,1.569514,1.569514,13030232
2023-02-10,1.569377,1.610336,1.445329,1.512038,1.512038,15674382
2023-02-11,1.511936,1.585501,1.501832,1.579411,1.579411,7030568
2023-02-12,1.579206,1.590911,1.495613,1.500618,1.500618,7808550
2023-02-13,1.501468,1.507957,1.376328,1.413463,1.413463,9904345
2023-02-14,1.413487,1.527720,1.193953,1.479727,1.479727,24464423
2023-02-15,1.480635,1.702339,1.474768,1.675184,1.675184,14263337
2023-02-16,1.673890,1.680890,1.381472,1.428283,1.428283,19963724
2023-02-17,1.429052,1.559138,1.424026,1.520451,1.520451,11657623
2023-02-18,1.520768,1.630251,1.480968,1.628522,1.628522,10465914
2023-02-19,1.629301,1.703696,1.597810,1.650963,1.650963,11556568
2023-02-20,1.652003,1.706403,1.626161,1.684520,1.684520,8376105
2023-02-21,1.684616,1.966161,1.676981,1.787345,1.787345,39865850
2023-02-22,1.786959,1.892763,1.733847,1.892374,1.892374,19204302
2023-02-23,1.892947,2.038995,1.860811,2.025123,2.025123,18887655
